case_number,unit_ref,unit_build_year,case_status,case_type,case_sub_type,case_create_date
Case7860,Unit6477,1995,Resolved,No Access,Gas,05/05/2020 12:29
Case7861,Unit5074,2018,Resolved,Service Charges,Calculation/Apportionment Query,05/05/2020 12:31
Case7862,Unit483,1960,Resolved,Query,,05/05/2020 12:33
Case7863,Unit2292,2008,Resolved,Income,Direct Debit Enquiry,05/05/2020 12:57
Case7864,Unit5338,2015,Resolved,Income,Account Enquiry,05/05/2020 13:06
Case7865,Unit2207,2011,Resolved,Income,Account Enquiry,05/05/2020 13:08
Case7866,Unit5269,2018,Resolved,Query,,05/05/2020 13:11
Case7867,Unit5985,,Resolved,Income,Refund Enquiry,05/05/2020 13:23
Case7868,Unit9183,1875,Resolved,Income,Payment Enquiry,05/05/2020 13:26
Case7869,Unit6821,,Resolved,Home Ownership,Home Improvement,05/05/2020 13:30
Case7870,Unit6269,2008,Resolved,Query,,05/05/2020 13:54
Case7871,Unit3944,1995,Resolved,Income,Refund Enquiry,05/05/2020 13:55
Case7872,Unit797,1972,Resolved,Query,,05/05/2020 14:16
Case7873,Unit386,1992,Resolved,Income,Refund Enquiry,05/05/2020 14:16
Case7874,Unit1522,2012,Resolved,Query,,05/05/2020 14:24
Case7875,Unit5957,2012,Resolved,Income,Payment Deferral Request,05/05/2020 14:27
Case7876,Unit9084,2004,Resolved,Income,Payment Enquiry,05/05/2020 14:30
Case7877,Unit3916,2011,Resolved,Income,Account Enquiry,05/05/2020 14:37
Case7878,Unit2229,2013,Resolved,Home Ownership,Section 20,05/05/2020 14:42
Case7879,Unit6804,1930,Resolved,Death of Tenant,,05/05/2020 14:45
Case7880,Unit450,1994,Active,Complaints,,05/05/2020 14:45
Case7881,Unit4478,2019,Resolved,Service Charges,Calculation/Apportionment Query,05/05/2020 14:46
Case7882,Unit9636,1993,Resolved,ASB,,05/05/2020 14:48
Case7883,Unit89,1890,Resolved,Query,,25/06/2019 15:47
Case7884,Unit6960,,Resolved,Query,,05/05/2020 14:57
Case7885,Unit6804,1930,Resolved,Income,Tenancy Enquiry,05/05/2020 14:58
Case7886,Unit9513,2006,Resolved,Complaints,,05/05/2020 15:02
Case7887,Unit8682,1919,Resolved,Tenancy Change,,05/05/2020 15:20
Case7888,Unit9172,1960,Resolved,Service Charges,Cost Dispute - Communal Utilities (Electric/Water),05/05/2020 15:35
Case7889,Unit5933,2018,Resolved,Income,Refund Enquiry,05/05/2020 15:48
Case7890,Unit1001,1920,Resolved,Income,Account Enquiry,05/05/2020 15:54
Case7891,Unit3914,1890,Resolved,ASB,,25/06/2019 15:57
Case7892,Unit1241,1992,Resolved,Query,,05/05/2020 16:52
Case7893,Unit7156,1966,Resolved,Complaints,,06/05/2020 07:38
Case7894,Unit3115,2013,Resolved,Query,,25/06/2019 16:05
Case7895,Unit9680,2017,Resolved,Income,Payment Deferral Request,06/05/2020 08:19
Case7896,Unit1653,2013,Resolved,Service Charges,Invoice/Breakdown Request,06/05/2020 08:20
Case7897,Unit1998,1931,Resolved,Rehousing,Permanent,06/05/2020 08:21
Case7898,Unit3077,2005,Resolved,Service Charges,Calculation/Apportionment Query,06/05/2020 08:23
Case7899,Unit1664,1960,Resolved,Income,Refund Enquiry,06/05/2020 08:30
Case7900,Unit9926,1910,Resolved,Query,,06/05/2020 08:37
Case7901,Unit202,2008,Active,Direct Maintenance,Damp & Mould,06/05/2020 08:40
Case7902,Unit3626,1910,Resolved,Income,Refund Enquiry,06/05/2020 08:44
Case7903,Unit5185,1960,Resolved,Tenancy Change,,06/05/2020 08:54
Case7904,Unit4682,2008,Resolved,Home Ownership,Subletting Homeowner,06/05/2020 09:04
Case7905,Unit8274,1969,Resolved,Income,Payment Deferral Request,06/05/2020 09:07
Case7906,Unit1869,1910,Resolved,Service Charges,Calculation/Apportionment Query,06/05/2020 10:08
Case7907,Unit4384,2016,Resolved,Query,,06/05/2020 10:18
Case7908,Unit9462,1890,Active,Rehousing,Permanent,06/05/2020 10:25
Case7909,Unit7909,1996,Resolved,Income,Refund Enquiry,06/05/2020 10:28
Case7910,Unit8262,2003,Resolved,Complaints,,06/05/2020 10:33
Case7911,Unit8684,2009,Resolved,Query,,06/05/2020 10:36
Case7912,Unit1709,2017,Resolved,Income,Account Enquiry,06/05/2020 10:37
Case7913,Unit26,1976,Active,Direct Maintenance,Damp & Mould,06/05/2020 10:41
Case7914,Unit2819,1947,Resolved,Query,,06/05/2020 10:45
Case7915,Unit8262,2003,Resolved,Query,,06/05/2020 10:52
Case7916,Unit1746,2005,Resolved,Query,,25/06/2019 19:14
Case7917,Unit400,1994,Resolved,Death of Tenant,,06/05/2020 10:55
Case7918,Unit9097,1976,Resolved,Death of Tenant,,06/05/2020 10:56
Case7919,Unit9618,1900,Resolved,Query,,06/05/2020 11:04
Case7920,Unit9097,1976,Resolved,Income,Tenancy Enquiry,06/05/2020 11:11
Case7921,Unit3623,2002,Resolved,Income,Account Enquiry,06/05/2020 11:12
Case7922,Unit4514,1981,Resolved,Query,,06/05/2020 11:18
Case7923,Unit6621,2014,Resolved,Query,,06/05/2020 11:21
Case7924,Unit4212,2013,Resolved,Query,,06/05/2020 11:30
Case7925,Unit3164,2014,Resolved,Query,,06/05/2020 11:36
Case7926,Unit4304,2013,Resolved,Income,Payment Enquiry,06/05/2020 11:37
Case7927,Unit5637,1890,Resolved,Service Charges,Calculation/Apportionment Query,06/05/2020 11:45
Case7928,Unit4212,2013,Resolved,Direct Maintenance,Follow on,06/05/2020 11:58
Case7929,Unit2922,2013,Resolved,Home Ownership,Section 20,06/05/2020 12:09
Case7930,Unit7269,1994,Resolved,Query,,06/05/2020 12:12
Case7931,Unit3428,1900,Resolved,No Access,Gas,26/06/2019 06:00
Case7932,Unit7312,1965,Resolved,Complaints,,06/05/2020 12:28
Case7933,Unit5622,2015,Resolved,Tenancy Change,,06/05/2020 12:40
Case7934,Unit9181,2007,Resolved,Query,,06/05/2020 12:47
Case7935,Unit3159,1900,Resolved,Query,,06/05/2020 12:48
Case7936,Unit9361,2016,Resolved,Query,,06/05/2020 12:56
Case7937,Unit2484,1900,Resolved,Query,,06/05/2020 13:01
Case7938,Unit8540,2005,Resolved,Service Charges,Calculation/Apportionment Query,06/05/2020 13:10
Case7939,Unit5666,2010,Resolved,Query,,06/05/2020 13:24
Case7940,Unit9212,2010,Resolved,No Access,Gas,26/06/2019 06:00
Case7941,Unit3623,2002,Resolved,Income,Payment Enquiry,06/05/2020 13:31
Case7942,Unit8546,2009,Resolved,Income,Account Enquiry,06/05/2020 13:43
Case7943,Unit3109,1910,Resolved,Query,,06/05/2020 13:52
Case7944,Unit4092,2011,Resolved,Income,Payment Deferral Request,06/05/2020 14:06
Case7945,Unit3448,1970,Resolved,Income,Refund Enquiry,06/05/2020 14:08
Case7946,Unit6974,1900,Resolved,Query,,06/05/2020 14:10
Case7947,Unit5188,2002,Resolved,Income,Tenancy Enquiry,06/05/2020 14:14
Case7948,Unit4283,1880,Resolved,Query,,06/05/2020 14:23
Case7949,Unit4950,2013,Active,Home Ownership,Subletting Homeowner,06/05/2020 14:26
Case7950,Unit2897,,Resolved,Income,Payment Deferral Request,06/05/2020 14:29
Case7951,Unit4092,2011,Resolved,Service Charges,Calculation/Apportionment Query,06/05/2020 14:38
Case7952,Unit4308,2008,Resolved,Query,,06/05/2020 14:44
Case7953,Unit6549,1996,Resolved,Income,Account Enquiry,06/05/2020 14:49
Case7954,Unit6269,2008,Resolved,Complaints,,06/05/2020 14:52
Case7955,Unit9416,1992,Resolved,Query,,06/05/2020 15:03
Case7956,Unit2010,1995,Resolved,ASB,,06/05/2020 15:04
Case7957,Unit1919,2013,Resolved,Query,,06/05/2020 15:06
Case7958,Unit8128,1998,Resolved,Query,,06/05/2020 15:11
Case7959,Unit5405,2008,Resolved,Home Ownership,Home Improvement,06/05/2020 15:13
Case7960,Unit4340,2014,Resolved,Query,,06/05/2020 15:15
Case7961,Unit3375,1899,Resolved,Complaints,,06/05/2020 15:29
Case7962,Unit7664,1910,Resolved,Income,Refund Enquiry,06/05/2020 15:45
Case7963,Unit6456,2009,Resolved,Query,,06/05/2020 15:57
Case7964,Unit8975,1992,Resolved,Query,,06/05/2020 15:58
Case7965,Unit2895,1910,Resolved,Query,,06/05/2020 16:35
Case7966,Unit918,2012,Resolved,Query,,06/05/2020 17:19
Case7967,Unit1883,2006,Resolved,Complaints,,07/05/2020 06:42
Case7968,Unit7307,1998,Resolved,Complaints,,07/05/2020 07:42
Case7969,Unit7307,1998,Resolved,Complaints,,07/05/2020 08:02
Case7970,Unit7318,2018,Resolved,Query,,07/05/2020 08:08
Case7971,Unit7318,2018,Active,Query,,07/05/2020 08:11
Case7972,Unit6560,1992,Resolved,Query,,07/05/2020 08:24
Case7973,Unit38,1988,Active,Direct Maintenance,Damp & Mould,07/05/2020 08:40
Case7974,Unit870,1825,Resolved,Query,,07/05/2020 08:40
Case7975,Unit7788,1890,Resolved,Query,,07/05/2020 08:45
Case7976,Unit8354,,Resolved,Query,,07/05/2020 08:50
Case7977,Unit5731,1995,Resolved,Income,Payment Deferral Request,07/05/2020 09:15
Case7978,Unit7969,2014,Resolved,Income,Refund Enquiry,07/05/2020 09:22
Case7979,Unit2695,1994,Resolved,Query,,07/05/2020 09:25
Case7980,Unit4542,2018,Resolved,Income,Account Enquiry,07/05/2020 09:28
Case7981,Unit6222,1955,Resolved,Income,Refund Enquiry,07/05/2020 09:30
Case7982,Unit7354,1954,Resolved,Query,,07/05/2020 09:34
Case7983,Unit8426,1991,Resolved,Query,,26/06/2019 08:15
Case7984,Unit8886,2008,Resolved,Query,,07/05/2020 09:43
Case7985,Unit7612,2007,Resolved,Query,,07/05/2020 09:45
Case7986,Unit3298,1992,Resolved,MP/Councillor Enquiry,Direct Maintenance,26/06/2019 08:16
Case7987,Unit8442,1979,Resolved,Complaints,,07/05/2020 10:01
Case7988,Unit6989,1880,Resolved,Income,Payment Enquiry,07/05/2020 10:09
Case7989,Unit301,1965,Active,Tenancy Change,,07/05/2020 10:12
Case7990,Unit5789,2013,Active,Home Ownership,Lease Enquiry,07/05/2020 10:17
Case7991,Unit6648,2009,Resolved,Complaints,,26/06/2019 08:20
Case7992,Unit4635,1993,Resolved,Direct Maintenance,Further Information Required,07/05/2020 10:29
Case7993,Unit4538,1980,Resolved,Query,,07/05/2020 10:31
Case7994,Unit8048,2000,Resolved,Tenancy Change,,07/05/2020 10:40
Case7995,Unit7862,1900,Resolved,Query,,07/05/2020 10:53
Case7996,Unit1066,,Resolved,Query,,07/05/2020 11:04
Case7997,Unit3309,2015,Active,Tenancy Change,,07/05/2020 11:20
Case7998,Unit2877,2013,Resolved,Income,Refund Enquiry,07/05/2020 11:21
Case7999,Unit1840,2018,Resolved,Home Ownership,Home Improvement,07/05/2020 11:31
Case8000,Unit1184,1988,Resolved,Query,,26/06/2019 08:29
Case8001,Unit3591,2005,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 11:36
Case8002,Unit8428,,Resolved,Income,Refund Enquiry,07/05/2020 11:37
Case8003,Unit4957,1997,Active,Query,,07/05/2020 11:38
Case8004,Unit9023,1910,Active,Rehousing,Permanent,07/05/2020 11:38
Case8005,Unit1521,2009,Resolved,Direct Maintenance,Further Information Required,07/05/2020 11:49
Case8006,Unit5424,2006,Resolved,Direct Maintenance,Follow on,07/05/2020 11:54
Case8007,Unit9431,1999,Resolved,Query,,07/05/2020 11:56
Case8008,Unit5943,1899,Resolved,Income,Payment Deferral Request,07/05/2020 12:36
Case8009,Unit4346,2007,Resolved,Tenancy Change,,07/05/2020 12:42
Case8010,Unit6648,2009,Resolved,Query,,26/06/2019 08:32
Case8011,Unit4892,1970,Resolved,Income,Account Enquiry,07/05/2020 12:58
Case8012,Unit7861,2010,Resolved,Direct Maintenance,Follow on,07/05/2020 12:58
Case8013,Unit9386,2008,Resolved,Direct Maintenance,Follow on,07/05/2020 13:04
Case8014,Unit6824,1910,Resolved,Income,Payment Deferral Request,07/05/2020 13:06
Case8015,Unit8646,1984,Resolved,Income,Direct Debit Enquiry,07/05/2020 13:14
Case8016,Unit8886,2008,Resolved,No Access,Gas,07/05/2020 13:21
Case8017,Unit1292,1900,Resolved,Service Charges,Calculation/Apportionment Query,26/06/2019 08:33
Case8018,Unit1521,2009,Resolved,Direct Maintenance,Follow on,07/05/2020 13:31
Case8019,Unit4878,1890,Resolved,Query,,07/05/2020 13:43
Case8020,Unit5295,1977,Resolved,Income,Refund Enquiry,07/05/2020 13:47
Case8021,Unit3880,1970,Resolved,Query,,07/05/2020 13:49
Case8022,Unit5740,2008,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 14:08
Case8023,Unit1851,2006,Resolved,Income,Refund Enquiry,07/05/2020 14:13
Case8024,Unit3220,1910,Resolved,Service Charges,Invoice/Breakdown Request,07/05/2020 14:14
Case8025,Unit9542,2006,Resolved,Income,Payment Enquiry,07/05/2020 14:19
Case8026,Unit7271,1951,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 14:22
Case8027,Unit2734,2017,Resolved,Income,Payment Deferral Request,07/05/2020 14:30
Case8028,Unit6441,2004,Resolved,Income,Account Enquiry,07/05/2020 14:37
Case8029,Unit7318,2018,Resolved,Service Charges,Invoice/Breakdown Request,07/05/2020 15:03
Case8030,Unit3367,2016,Resolved,Income,Account Enquiry,07/05/2020 15:12
Case8031,Unit5959,1880,Resolved,Query,,07/05/2020 15:13
Case8032,Unit6456,2009,Resolved,Complaints,,07/05/2020 15:15
Case8033,Unit8113,2012,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 15:17
Case8034,Unit9093,2019,Resolved,Income,Payment Enquiry,07/05/2020 15:21
Case8035,Unit980,1890,Active,Direct Maintenance,Damp & Mould,07/05/2020 15:21
Case8036,Unit3087,2008,Resolved,Query,,07/05/2020 15:22
Case8037,Unit7026,2013,Resolved,Query,,07/05/2020 15:27
Case8038,Unit1531,2008,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 15:30
Case8039,Unit8540,2005,Resolved,Service Charges,Calculation/Apportionment Query,07/05/2020 15:30
Case8040,Unit9497,2013,Resolved,Income,Refund Enquiry,07/05/2020 15:43
Case8041,Unit1292,1900,Resolved,Query,,07/05/2020 16:04
Case8042,Unit5353,1930,Resolved,Query,,07/05/2020 16:05
Case8043,Unit6422,1970,Resolved,Query,,07/05/2020 16:10
Case8044,Unit3546,1860,Resolved,Query,,07/05/2020 16:16
Case8045,Unit1366,2013,Resolved,Query,,11/05/2020 06:42
Case8046,Unit483,1960,Resolved,ASB,,11/05/2020 07:25
Case8047,Unit3534,1960,Resolved,Direct Maintenance,Follow on,11/05/2020 07:42
Case8048,Unit8415,1998,Resolved,Complaints,,11/05/2020 07:48
Case8049,Unit6051,2017,Resolved,Query,,11/05/2020 07:50
Case8050,Unit9217,1900,Resolved,Income,Direct Debit Enquiry,11/05/2020 08:05
Case8051,Unit4119,1976,Resolved,Query,,11/05/2020 08:09
Case8052,Unit7076,2012,Resolved,Income,Refund Enquiry,11/05/2020 08:09
Case8053,Unit8113,2012,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 08:17
Case8054,Unit3965,1899,Resolved,Income,Refund Enquiry,11/05/2020 08:17
Case8055,Unit2623,1993,Resolved,Query,,11/05/2020 08:17
Case8056,Unit1409,2016,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 08:36
Case8057,Unit8235,1992,Resolved,Direct Maintenance,Follow on,11/05/2020 08:39
Case8058,Unit5736,2018,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 08:42
Case8059,Unit7384,2019,Resolved,Query,,11/05/2020 08:51
Case8060,Unit3825,1997,Resolved,Query,,11/05/2020 08:53
Case8061,Unit3453,2004,Resolved,Query,,11/05/2020 09:09
Case8062,Unit1063,1990,Resolved,Income,Payment Deferral Request,11/05/2020 09:11
Case8063,Unit225,1940,Resolved,Query,,11/05/2020 09:11
Case8064,Unit4365,2009,Resolved,Query,,11/05/2020 09:14
Case8065,Unit7262,1990,Resolved,Query,,11/05/2020 09:22
Case8066,Unit4473,1984,Resolved,Income,Refund Enquiry,11/05/2020 09:24
Case8067,Unit5158,,Resolved,Query,,11/05/2020 09:26
Case8068,Unit9005,1980,Resolved,Income,Refund Enquiry,11/05/2020 09:30
Case8069,Unit1302,1997,Resolved,ASB,,11/05/2020 09:35
Case8070,Unit8151,2015,Resolved,Income,Refund Enquiry,11/05/2020 09:36
Case8071,Unit47,1992,Resolved,ASB,,11/05/2020 09:39
Case8072,Unit7867,2014,Resolved,Complaints,,11/05/2020 09:42
Case8073,Unit2827,1940,Resolved,Complaints,,11/05/2020 09:46
Case8074,Unit6648,2009,Resolved,Query,,11/05/2020 09:48
Case8075,Unit4286,2008,Resolved,Query,,11/05/2020 09:49
Case8076,Unit4145,1951,Resolved,Query,,11/05/2020 09:51
Case8077,Unit7245,1992,Resolved,Query,,11/05/2020 09:54
Case8078,Unit6905,1993,Resolved,Income,Account Enquiry,11/05/2020 09:55
Case8079,Unit7782,2005,Resolved,Query,,11/05/2020 09:56
Case8080,Unit7547,1890,Resolved,Query,,11/05/2020 09:57
Case8081,Unit263,1910,Resolved,Direct Maintenance,Follow on,11/05/2020 09:57
Case8082,Unit211,1910,Active,Direct Maintenance,Damp & Mould,11/05/2020 10:00
Case8083,Unit3182,2015,Resolved,Query,,11/05/2020 10:00
Case8084,Unit6368,1910,Resolved,Query,,11/05/2020 10:06
Case8085,Unit9297,1996,Resolved,Query,,11/05/2020 10:07
Case8086,Unit1866,1870,Resolved,Income,Account Enquiry,11/05/2020 10:09
Case8087,Unit8254,1994,Resolved,ASB,,11/05/2020 10:12
Case8088,Unit6931,1956,Resolved,Income,UC Enquiry,11/05/2020 10:25
Case8089,Unit4982,1992,Resolved,Query,,11/05/2020 10:26
Case8090,Unit6342,1950,Resolved,Query,,11/05/2020 10:43
Case8091,Unit123,1890,Resolved,ASB,,11/05/2020 10:45
Case8092,Unit9439,2019,Resolved,Query,,11/05/2020 10:50
Case8093,Unit9012,2007,Resolved,Query,,11/05/2020 10:52
Case8094,Unit2753,2008,Resolved,Complaints,,11/05/2020 10:57
Case8095,Unit8886,2008,Resolved,Complaints,,26/06/2019 09:16
Case8096,Unit7747,1992,Resolved,Query,,11/05/2020 11:18
Case8097,Unit9291,1994,Resolved,Income,Refund Enquiry,11/05/2020 11:26
Case8098,Unit123,1890,Resolved,Query,,11/05/2020 11:26
Case8099,Unit7340,1994,Resolved,Direct Maintenance,Further Information Required,11/05/2020 11:27
Case8100,Unit7166,2012,Resolved,Query,,11/05/2020 11:27
Case8101,Unit1544,,Resolved,MP/Councillor Enquiry,Customer Accounts,11/05/2020 11:28
Case8102,Unit2327,1993,Resolved,Direct Maintenance,Follow on,11/05/2020 11:33
Case8103,Unit8516,1890,Resolved,Income,Account Enquiry,11/05/2020 11:38
Case8104,Unit5025,2013,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 11:41
Case8105,Unit7660,1910,Resolved,Query,,11/05/2020 11:57
Case8106,Unit8091,1900,Resolved,Query,,26/06/2019 09:21
Case8107,Unit6509,1966,Resolved,Query,,26/06/2019 09:21
Case8108,Unit8233,2005,Resolved,ASB,,11/05/2020 12:16
Case8109,Unit9618,1900,Resolved,ASB,,11/05/2020 12:26
Case8110,Unit1486,1975,Resolved,Query,,11/05/2020 12:26
Case8111,Unit47,1992,Resolved,ASB,,11/05/2020 12:32
Case8112,Unit2840,1890,Resolved,Direct Maintenance,Follow on,26/06/2019 09:23
Case8113,Unit6246,2002,Resolved,Income,Payment Deferral Request,11/05/2020 12:45
Case8114,Unit8159,,Resolved,Direct Maintenance,Follow on,11/05/2020 12:47
Case8115,Unit5204,1970,Resolved,Income,Account Enquiry,11/05/2020 13:20
Case8116,Unit5985,,Resolved,Income,Refund Enquiry,11/05/2020 13:22
Case8117,Unit3617,1996,Resolved,Query,,26/06/2019 09:24
Case8118,Unit9136,2008,Resolved,Income,Payment Deferral Request,11/05/2020 13:24
Case8119,Unit1691,2010,Resolved,Income,Direct Debit Enquiry,11/05/2020 13:35
Case8120,Unit8571,1890,Resolved,Income,Payment Deferral Request,11/05/2020 13:36
Case8121,Unit1895,2006,Resolved,Income,Account Enquiry,11/05/2020 13:40
Case8122,Unit3591,2005,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 13:40
Case8123,Unit115,1969,Active,Direct Maintenance,Damp & Mould,11/05/2020 13:49
Case8124,Unit7717,1995,Resolved,Query,,11/05/2020 14:17
Case8125,Unit6014,2007,Resolved,Query,,11/05/2020 14:26
Case8126,Unit185,1922,Resolved,Direct Maintenance,Follow on,11/05/2020 14:40
Case8127,Unit8182,,Resolved,Complaints,,11/05/2020 14:42
Case8128,Unit9752,1996,Resolved,Income,Refund Enquiry,11/05/2020 14:46
Case8129,Unit5804,1869,Resolved,Query,,26/06/2019 09:28
Case8130,Unit2474,2011,Resolved,Query,,11/05/2020 14:51
Case8131,Unit4208,1900,Resolved,Home Ownership,Lease Extensions,11/05/2020 14:52
Case8132,Unit2474,2011,Resolved,Direct Maintenance,Supervisor Inspection,11/05/2020 14:57
Case8133,Unit8696,2015,Resolved,Query,,11/05/2020 15:04
Case8134,Unit1202,2005,Resolved,Query,,11/05/2020 15:16
Case8135,Unit3492,2015,Resolved,Query,,11/05/2020 15:17
Case8136,Unit8532,2016,Resolved,Service Charges,Calculation/Apportionment Query,11/05/2020 15:23
Case8137,Unit5025,2013,Resolved,Query,,11/05/2020 15:41
Case8138,Unit7775,2018,Resolved,Income,Payment Deferral Request,11/05/2020 15:42
Case8139,Unit7343,1999,Resolved,Query,,11/05/2020 15:44
Case8140,Unit6445,2013,Resolved,Tenancy Change,,11/05/2020 15:48
Case8141,Unit8253,1962,Resolved,Disrepair,Legal Disrepair,26/06/2019 09:51
Case8142,Unit5212,1869,Resolved,Income,Account Enquiry,11/05/2020 15:50
Case8143,Unit1443,1967,Resolved,Query,,11/05/2020 16:01
Case8144,Unit7860,1920,Resolved,Service Charges,Invoice/Breakdown Request,11/05/2020 16:01
Case8145,Unit611,1900,Active,Direct Maintenance,Damp & Mould,11/05/2020 16:02
Case8146,Unit6906,2010,Resolved,Query,,11/05/2020 16:08
Case8147,Unit198,1992,Resolved,Query,,11/05/2020 16:24
Case8148,Unit4957,1997,Resolved,Tenancy Change,,11/05/2020 20:36
Case8149,Unit7721,1994,Resolved,Disrepair,Legal Disrepair,12/05/2020 07:59
Case8150,Unit7399,1993,Resolved,Query,,12/05/2020 08:03
Case8151,Unit1397,1995,Resolved,Income,Payment Deferral Request,12/05/2020 08:06
Case8152,Unit4927,1890,Resolved,Direct Maintenance,Further Information Required,12/05/2020 08:13
Case8153,Unit8201,2007,Resolved,Direct Maintenance,Follow on,12/05/2020 08:15
Case8154,Unit6728,2014,Resolved,Query,,12/05/2020 08:46
Case8155,Unit644,1956,Resolved,ASB,,12/05/2020 08:48
Case8156,Unit4273,2011,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 08:56
Case8157,Unit8077,1882,Resolved,Income,Tenancy Enquiry,12/05/2020 08:59
Case8158,Unit870,1825,Resolved,ASB,,12/05/2020 09:06
Case8159,Unit7399,1993,Resolved,Query,,12/05/2020 09:07
Case8160,Unit5780,1980,Resolved,Income,Payment Deferral Request,12/05/2020 09:13
Case8161,Unit8728,2009,Resolved,Income,Payment Deferral Request,12/05/2020 09:19
Case8162,Unit9534,2004,Resolved,Query,,12/05/2020 09:21
Case8163,Unit2777,2016,Resolved,Query,,12/05/2020 09:45
Case8164,Unit2024,2015,Resolved,Direct Maintenance,Follow on,12/05/2020 09:47
Case8165,Unit1325,1990,Resolved,Income,Direct Debit Enquiry,12/05/2020 09:56
Case8166,Unit3399,1960,Resolved,MP/Councillor Enquiry,Customer Accounts,12/05/2020 09:57
Case8167,Unit9830,1960,Resolved,Query,,12/05/2020 10:01
Case8168,Unit3303,1999,Resolved,Query,,12/05/2020 10:09
Case8169,Unit677,2017,Resolved,Complaints,,26/06/2019 10:31
Case8170,Unit2221,2006,Resolved,Income,Account Enquiry,12/05/2020 10:28
Case8171,Unit3553,,Resolved,Query,,12/05/2020 10:32
Case8172,Unit595,2008,Resolved,Query,,12/05/2020 10:47
Case8173,Unit8510,2006,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 10:48
Case8174,Unit3418,2010,Resolved,Income,IMR/PRS Enquiry,12/05/2020 10:53
Case8175,Unit9187,1995,Resolved,No Access,Gas,12/05/2020 10:55
Case8176,Unit4585,1930,Resolved,Income,Refund Enquiry,12/05/2020 11:07
Case8177,Unit2397,2004,Resolved,Tenancy Change,,12/05/2020 11:08
Case8178,Unit5199,1992,Resolved,Query,,12/05/2020 11:15
Case8179,Unit9416,1992,Resolved,Query,,12/05/2020 11:15
Case8180,Unit3418,2010,Resolved,Income,Refund Enquiry,12/05/2020 11:15
Case8181,Unit641,1974,Resolved,Query,,12/05/2020 11:19
Case8182,Unit6773,2010,Resolved,Query,,12/05/2020 11:21
Case8183,Unit3428,1900,Resolved,Query,,12/05/2020 11:36
Case8184,Unit2729,1993,Resolved,Query,,12/05/2020 11:49
Case8185,Unit7140,2008,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 12:24
Case8186,Unit1563,2009,Resolved,Complaints,,26/06/2019 10:47
Case8187,Unit108,1964,Resolved,Query,,12/05/2020 13:13
Case8188,Unit9952,2013,Resolved,Query,,26/06/2019 10:48
Case8189,Unit8986,2004,Resolved,Query,,12/05/2020 13:23
Case8190,Unit6607,2002,Resolved,Income,Account Enquiry,12/05/2020 13:41
Case8191,Unit7896,1992,Resolved,Query,,12/05/2020 13:44
Case8192,Unit3943,2011,Resolved,Service Charges,Invoice/Breakdown Request,12/05/2020 13:52
Case8193,Unit3077,2005,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 13:59
Case8194,Unit195,1900,Resolved,Query,,12/05/2020 14:04
Case8195,Unit3355,,Resolved,Home Ownership,Lease Enquiry,12/05/2020 14:10
Case8196,Unit6131,1935,Resolved,Query,,12/05/2020 14:14
Case8197,Unit3511,2008,Resolved,Query,,12/05/2020 14:24
Case8198,Unit7570,1910,Resolved,Direct Maintenance,Follow on,12/05/2020 14:24
Case8199,Unit5029,2012,Resolved,Query,,12/05/2020 14:34
Case8200,Unit494,1975,Resolved,Income,Refund Enquiry,12/05/2020 14:39
Case8201,Unit6771,1926,Resolved,Query,,26/06/2019 10:51
Case8202,Unit8109,2008,Resolved,Income,Payment Deferral Request,12/05/2020 14:52
Case8203,Unit111,1930,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 15:45
Case8204,Unit5380,,Resolved,Service Charges,Calculation/Apportionment Query,12/05/2020 15:48
Case8205,Unit3182,2015,Resolved,Query,,12/05/2020 16:03
Case8206,Unit2740,1994,Resolved,Income,Account Enquiry,12/05/2020 16:22
Case8207,Unit4480,1993,Resolved,Query,,12/05/2020 16:41
Case8208,Unit9636,1993,Resolved,ASB,,12/05/2020 21:23
Case8209,Unit156,1890,Resolved,Complaints,,13/05/2020 06:58
Case8210,Unit71,1955,Active,Direct Maintenance,Damp & Mould,13/05/2020 07:26
Case8211,Unit4013,1955,Resolved,Query,,13/05/2020 07:34
Case8212,Unit2729,1993,Resolved,ASB,,13/05/2020 08:07
Case8213,Unit2902,2017,Resolved,Service Charges,Calculation/Apportionment Query,13/05/2020 08:08
Case8214,Unit4927,1890,Resolved,Query,,13/05/2020 08:11
Case8215,Unit2870,2013,Resolved,Income,Account Enquiry,13/05/2020 08:21
Case8216,Unit9514,1900,Resolved,Home Ownership,Staircasing,13/05/2020 08:22
Case8217,Unit8144,2015,Resolved,Income,Direct Debit Enquiry,13/05/2020 08:26
